Month DD Raised,No. of FTE Request Raised,SkillList,Location,Experience Grade,Practice,Skill Group,Demand Source
March,3,"(D) Capital Markets Sector,Financial Services",Pune,A3,TEST,(T) Monitoring Technologies,Account
January,2,Temenos,Chennai,A1,DCX,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Account
October,2,Temenos,Bhubaneswar,B2,M&FT,(D) Cards,Account
August,2,Temenos,Gurgaon,B1,INS,(D) Banking Sector,Account
January,2,Ab Initio,Chennai,A1,DCX,(D) Capital Markets Sector,Proactive
January,2,Ab Initio,Chennai,A1,DCX,(D) Cards,Account
May,3,Temenos,Bangalore,A4,BANK,(D) Cards,Proactive
May,1,(D) Capital Markets Sector,Bangalore,A4,BANK,(T) Web Development Technologies,Support
March,4,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(T) Web Development Technologies,Proactive
August,2,"Amazon Web services - Build , Administration and integration",Gurgaon,B1,INS,(D) Healthcare Sector,Proactive
January,1,"Amazon Web services - Build , Administration and integration",Chennai,A1,DCX,(T) Web Development Technologies,Proactive
March,4,"Mulesoft ESB,Spring,Java (Multi Skilled),Java",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
January,1,"Mulesoft ESB,Spring,Java (Multi Skilled),Java",Chennai,A1,DCX,(D) Capital Markets Sector,Proactive
January,1,"Pivotal Cloud Foundryÿ - Build and Administration,Amazon Web services - Build , Administration and integration,Hibernate,Spring,Core Java",Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
February,2,"Pivotal Cloud Foundryÿ - Build and Administration,Amazon Web services - Build , Administration and integration,Hibernate,Spring,Core Java",Hyderabad,A2,CFS,(T) Mainframe Development Technologies,Proactive
June,4,"Vision Plus,Falcon",Noida,A5,ADM,(D) Healthcare Sector,Account
March,2,Adobe,Pune,A3,TEST,(D) Banking Sector,Proactive
August,4,Adobe,Gurgaon,B1,INS,(D) Cards,Proactive
June,4,Adobe,Noida,A5,ADM,(T) Microsoft Development Technologies,Support
June,1,Adobe,Noida,A5,I&D,(T) Microsoft Development Technologies,Proactive
February,2,Adobe,Hyderabad,A2,CFS,(D) Banking Sector,Proactive
October,2,Adobe,Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
June,2,Adobe,Noida,A5,ADM,(T) Monitoring Technologies,Proactive
March,1,Adobe,Pune,A3,TEST,(T) Monitoring Technologies,Proactive
October,3,Adobe,Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
October,2,Adobe,Bhubaneswar,B2,M&FT,(T) Microsoft Development Technologies,Proactive
January,3,Adobe,Chennai,A1,DCX,(F) Business Consulting,Support
January,1,Business Consulting,Chennai,A1,DCX,(D) Banking Sector,Account
October,1,Business Consulting,Bhubaneswar,B2,Cards,(T) Microsoft Development Technologies,Proactive
January,2,Adobe,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
October,3,Banking,Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
August,4,"C#,jQuery,C,Angular.js,.Net with MVC",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
June,3,"C#,jQuery,C,Angular.js,.Net with MVC",Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
June,2,"C#,jQuery,C,Angular.js,.Net with MVC",Noida,A5,I&D,(T) Reporting/Business Intelligence,Proactive
March,1,"C#,jQuery,C,Angular.js,.Net with MVC",Pune,A3,TEST,(F) IT Operations,Proactive
August,4,Business Consulting,Gurgaon,B1,GP,(T) Card packages,Account
March,4,Portal,Pune,A3,TEST,(D) Cards,Support
June,3,"Java (Multi Skilled),Java,Pega",Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
May,1,Fundtech - Global PayPlus (GPP),Bangalore,A4,BANK,(D) Capital Markets Sector,Proactive
June,2,Fundtech - Global PayPlus (GPP),Noida,A5,I&D,(T) Card packages,Proactive
October,4,"(T) Mobile Development Technologies,BPM",Bhubaneswar,B2,M&FT,(F) IT Operations,Proactive
December,3,Mulesoft ESB,Hartford,C1,ERP,(F) IT Operations,Proactive
June,4,Mulesoft ESB,Noida,A5,I&D,(T) Reporting/Business Intelligence,Support
March,1,Mulesoft ESB,Pune,A3,TEST,(T) Application Server Technologies,Account
June,2,Mulesoft ESB,Noida,A5,I&D,(D) Banking Sector,Proactive
February,2,Mulesoft ESB,Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
January,4,Mulesoft ESB,Chennai,A1,DCX,(T) Reporting/Business Intelligence,Proactive
June,2,Mulesoft ESB,Noida,A5,ADM,(D) Telecom Sector,Proactive
March,2,Mulesoft ESB,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
February,1,Mulesoft ESB,Hyderabad,A2,CFS,(T) Mainframe Development Technologies,Proactive
March,1,Mulesoft ESB,Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,2,BPM,Noida,A5,ADM,(D) Banking Sector,Proactive
August,4,BPM,Gurgaon,B1,INS,,Proactive
December,3,BPM,Hartford,C1,ERP,(F) HRO (HR Operations - Business Services),Account
January,2,BPM,Chennai,A1,DCX,(F) IT Operations,Proactive
February,4,BPM,Hyderabad,A2,CFS,(T) Java Development Technologies,Proactive
August,3,BPM,Gurgaon,B1,INS,(T) Operating systems and Virtualization Technologies,Proactive
October,3,BPM,Bhubaneswar,B2,Cards,(D) Capital Markets Sector,Proactive
February,4,Pega,Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Account
March,4,Pega,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
August,2,Pega,Gurgaon,B1,INS,(D) Cards,Proactive
August,2,Pega,Gurgaon,B1,GP,(T) Data Integration,Account
March,4,Pega,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
August,2,Pega,Gurgaon,B1,INS,(D) Banking Sector,Support
December,2,Pega,Hartford,C1,ERP,(T) Guidewire,Proactive
March,1,BPM,Pune,A3,TEST,(D) Banking Sector,Proactive
October,4,BPM,Bhubaneswar,B2,Cards,(D) Cards,Proactive
March,4,BPM,Pune,A3,TEST,(D) Banking Sector,Account
June,1,Mulesoft ESB,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
August,1,Mulesoft ESB,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Account
February,4,Mulesoft ESB,Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Account
March,3,Mulesoft ESB,Pune,A3,TEST,(D) Banking Sector,Proactive
March,2,Mulesoft ESB,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
May,3,"XML,Java (Multi Skilled),Java,Thunderhead",Bangalore,A4,BANK,(D) Banking Sector,Proactive
June,1,NICE,Noida,A5,I&D,"(T) Project Tools, Methodologies and Frameworks",Account
August,2,"Compliance,AML,Regulatory Framework,Risk Management",Gurgaon,B1,INS,(D) Banking Sector,Account
March,2,Business Consulting,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
March,1,"(D) Capital Markets Sector,Financial Services",Pune,A3,TEST,(F) IT Operations,Account
December,1,"Financial Services,(D) Capital Markets Sector",Hartford,C1,ERP,"(T) Project Tools, Methodologies and Frameworks",Account
January,4,"(D) Capital Markets Sector,Financial Services",Chennai,A1,DCX,(T) Reporting/Business Intelligence,Account
June,3,Ab Initio,Noida,A5,ADM,,Proactive
February,1,Ab Initio,Hyderabad,A2,CFS,(D) Banking Sector,Proactive
October,3,Ab Initio,Bhubaneswar,B2,Cards,(F) Business Management / Management / Executive Management,Account
October,4,Temenos,Bhubaneswar,B2,M&FT,(D) Insurance Sector,Proactive
March,2,Temenos,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,3,Temenos,Pune,A3,TEST,(F) IT Operations,Account
June,2,Temenos,Noida,A5,I&D,,Support
January,3,Temenos,Chennai,A1,DCX,(T) Java Development Technologies,Proactive
October,4,Temenos,Bhubaneswar,B2,Cards,(D) Banking Sector,Account
June,2,Temenos,Noida,A5,ADM,(T) Java Development Technologies,Proactive
June,3,Angular.js,Noida,A5,ADM,,Support
January,1,Angular.js,Chennai,A1,DCX,(D) Banking Sector,Proactive
March,3,Angular.js,Pune,A3,TEST,(T) Java Development Technologies,Proactive
August,2,Angular.js,Gurgaon,B1,INS,,Proactive
June,3,Angular.js,Noida,A5,I&D,,Proactive
March,3,Angular.js,Pune,A3,TEST,,Account
December,1,Angular.js,Hartford,C1,ERP,(F) IT Operations,Proactive
August,1,Angular.js,Gurgaon,B1,INS,(D) Banking Sector,Proactive
January,3,Angular.js,Chennai,A1,DCX,(D) Banking Sector,Proactive
March,2,Angular.js,Pune,A3,TEST,(D) Insurance Sector,Proactive
October,2,Angular.js,Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
January,4,"Vision Plus,V+",Chennai,A1,DCX,,Proactive
March,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Pune,A3,TEST,(T) Relational Databases,Proactive
October,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Bhubaneswar,B2,Cards,(D) Insurance Sector,Proactive
June,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Noida,A5,ADM,(F) IT Operations,Proactive
May,1,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Bangalore,A4,BANK,,Proactive
March,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Pune,A3,TEST,(T) Testing Tools / Testing Automation / Performance Testing Tools,Support
October,1,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Bhubaneswar,B2,Cards,(D) Cards,Account
August,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
August,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
February,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Hyderabad,A2,CFS,(D) Banking Sector,Proactive
March,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Pune,A3,TEST,(T) Card packages,Account
August,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Gurgaon,B1,GP,(D) Banking Sector,Proactive
February,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Hyderabad,A2,CFS,"(T) Project Tools, Methodologies and Frameworks",Support
June,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Noida,A5,I&D,(T) Java Development Technologies,Account
February,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Hyderabad,A2,CFS,(D) Banking Sector,Account
February,3,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Bhubaneswar,B2,M&FT,(D) Banking Sector,Account
June,2,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Noida,A5,ADM,(D) Banking Sector,Proactive
June,1,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Noida,A5,ADM,(T) Java Development Technologies,Support
May,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Bangalore,A4,BANK,(T) Microsoft Development Technologies,Account
August,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Gurgaon,B1,INS,(F) IT Operations,Support
January,4,"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java",Chennai,A1,DCX,(T) Java Development Technologies,Support
October,1,PL SQL,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
